personId,firstName,lastName,email,dob,address,majors
93d29cd5-7748-4664-9d66-de807f7abee1,Linda,Brown,linda.brown@example.com,1/20/1978,"397 Elm St, Fairview, IL","Health Science, Accounting"
e0122280-21bc-4a87-9bea-e1584d064c65,Alice,Williams,alice.williams@example.com,8/27/1985,"920 Cedar St, Georgetown, FL","Economics, Electrical Engineering"
2f1c08d0-8dde-4e36-9eab-82254f9c07ea,John,Miller,john.miller@example.com,6/12/1952,"169 Maple St, Salem, TX","Veterinary Medicine, Art, Social Work, Marketing, Urban Planning"
fe17f82c-374e-498c-b5e2-b99071aa7ec0,James,Davis,james.davis@example.com,11/23/1968,"148 Birch St, Fairview, NY",Social Work
e913aeb7-09f9-49b7-900b-96db1a8da078,John,Moore,john.moore@example.com,8/6/1969,"282 Spruce St, Georgetown, TX","Finance, Music"
d172537b-fb72-4baa-82b7-571ae9b2c315,Emily,Brown,emily.brown@example.com,2/5/1957,"304 Maple St, Greenville, OH","Computer Science, Veterinary Medicine"
c81e1b98-61a6-4c77-ad66-cb597913626e,Emily,Taylor,emily.taylor@example.com,1/23/1968,"880 Walnut St, Riverside, OH","Anthropology, Nursing, Communications"
8f48922f-1c49-4c40-b94f-42df1ae16b32,Bob,Doe,bob.doe@example.com,8/4/1950,"446 Spruce St, Springfield, CA","Anthropology, Electrical Engineering"
83fd99b4-80ca-4b4c-9558-af2653e98335,Linda,Doe,linda.doe@example.com,12/11/1978,"457 Oak St, Fairview, OH","Public Health, Chemistry, Business Administration, Agriculture, Anthropology"
7ca91a24-1177-4327-9c01-a5c11e644ebd,James,Taylor,james.taylor@example.com,8/31/1982,"131 Birch St, Riverside, TX",Communications
dc46916a-2924-442b-9f05-e1905b387feb,James,Williams,james.williams@example.com,5/1/1956,"872 Elm St, Fairview, OH","Computer Science, Philosophy, Electrical Engineering, Health Science, Mathematics"
22ae0ed2-c49a-485d-b80a-0700016cffb2,James,Taylor,james.taylor@example.com,5/26/1965,"561 Birch St, Fairview, NY","Health Science, Physics, Social Work"
bd5899e9-b4a2-4256-a134-d9adcb44e0c5,James,Davis,james.davis@example.com,5/11/1979,"914 Cedar St, Madison, PA","Agriculture, Criminal Justice, Marketing, Veterinary Medicine"
aac57ccc-8776-48b3-89e4-c577df083bff,Emily,Brown,emily.brown@example.com,7/4/1964,"731 Pine St, Fairview, NY","Marketing, English, Mechanical Engineering, Economics"
df9e3d76-8879-4c76-afd7-f70f16813258,John,Moore,john.moore@example.com,1/14/1994,"934 Pine St, Fairview, OH",Business Administration
4ee887fc-9d87-4d1e-9312-19d6d5b981ec,John,Williams,john.williams@example.com,11/7/1975,"854 Cedar St, Georgetown, PA","Art, Marketing, Communications"
01da8291-d177-4719-8e5d-fef8cf93c6cb,Linda,Doe,linda.doe@example.com,10/5/1999,"898 Oak St, Springfield, TX",
eb3519b6-d50e-4250-bcb7-f9664c7c9061,Alice,Davis,alice.davis@example.com,1/3/1998,"240 Birch St, Springfield, FL","Philosophy, Political Science"
b3df4474-7aef-4718-b081-622d8023bfcd,David,Taylor,david.taylor@example.com,1/29/1969,"277 Spruce St, Salem, CA",Foreign Languages
9158347f-eaf0-460c-8110-55cd38493dbb,Jane,Johnson,jane.johnson@example.com,3/12/1964,"284 Pine St, Fairview, CA","Finance, Journalism"
4356331d-4657-4a7b-bbad-d88800bceffc,Sarah,Smith,sarah.smith@example.com,12/17/1978,"477 Cedar St, Georgetown, TX",History
62331761-33c9-46a7-91a9-7fe0667d1dae,Sarah,Brown,sarah.brown@example.com,2/9/1961,"789 Birch St, Riverside, TX","Health Science, Law, Health Science"
9d2787b2-97ee-4b90-8026-1522a9c6b979,John,Miller,john.miller@example.com,11/4/1965,"908 Pine St, Greenville, PA","Theater, Art, Mechanical Engineering, Marketing, Architecture"
a488f7c5-8363-4fcb-8914-425629869969,James,Moore,james.moore@example.com,3/22/1992,"579 Cedar St, Fairview, NY",
e2814f37-795f-440f-8406-d8e649ea4c5e,David,Brown,david.brown@example.com,7/16/1973,"510 Elm St, Fairview, PA",Art
36e95762-9b65-4df3-a9a5-88faa26d5cd7,Jane,Davis,jane.davis@example.com,1/21/1981,"271 Maple St, Springfield, IL","Accounting, Library Science, Law"
4a1fb3f4-e95c-4838-84d4-7a5a15841964,James,Taylor,james.taylor@example.com,5/27/1986,"815 Birch St, Salem, PA",
b49e2788-2144-4ea0-a727-9e55b49702ba,Sarah,Wilson,sarah.wilson@example.com,12/2/1997,"511 Pine St, Greenville, TX",Economics
6a30f04d-871d-4af9-bea7-d085fdbae873,Linda,Wilson,linda.wilson@example.com,4/15/1990,"568 Spruce St, Springfield, NY",Communications
b0d345d4-d363-4047-be46-561be5325b78,Alice,Davis,alice.davis@example.com,7/8/1985,"106 Oak St, Springfield, OH",Philosophy
89c8661b-d1df-4556-aac9-902012465a32,Linda,Taylor,linda.taylor@example.com,4/8/1967,"400 Oak St, Madison, FL",
e990c9c3-407e-43bd-9dc7-56842ace017f,David,Miller,david.miller@example.com,3/25/1988,"838 Spruce St, Salem, CA","Psychology, English, Business Administration"
7ffb8d92-a96f-46fe-8b6f-b508cabeb2a5,David,Brown,david.brown@example.com,11/25/1965,"463 Birch St, Riverside, OH",
584e06ea-e071-4106-a973-179c216e9a90,John,Miller,john.miller@example.com,12/21/1952,"628 Birch St, Fairview, FL",
59c921b3-d2f4-485e-a392-34daf793baff,Linda,Wilson,linda.wilson@example.com,6/18/1966,"634 Oak St, Greenville, OH","Chemistry, Communications, Political Science, Chemistry, History"
260916b5-7763-49ae-bda0-fc8626f1900d,Emily,Wilson,emily.wilson@example.com,5/19/1962,"843 Oak St, Madison, IL",Chemistry
e94ec8e4-8e39-4d2a-a700-c0edd8a92ea6,Linda,Wilson,linda.wilson@example.com,11/2/1962,"247 Oak St, Salem, CA",
95e4d56a-f265-4bf1-acef-018db42589bb,John,Wilson,john.wilson@example.com,5/26/1996,"808 Spruce St, Fairview, IL","History, Journalism, Anthropology, Accounting"
